id,tipo_doc,titulo,autor,anio,nombre_revista_compilacion,url,editorial_institucion,lugar,temas,img,file_img
62,journalArticle,Activismo “indio” en el mundo digital en tiempos de recuperación de lo “ancestral”,"Machaca, Wilmer",2018,Andamios 7. ¿Qué hacen las tecnologías de información y comunicación con las democracias?,https://www.oep.org.bo/wp-content/uploads/2018/09/revista-andamios_nro_7.pdf,,,"sociedad civil,indigenas",https://labtecnosocial.org/explora-bib/digital/machaca2018.png,machaca2018.png
63,journalArticle,La emergencia de los movimientos ciudadanos en red en Bolivia (2009-2017),"Ojeda, Alex",2018,Traspatios,https://www.academia.edu/37714122/La_emergencia_de_los_movimientos_ciudadanos_en_red_en_Bolivia_2009_2017_,,,movimientos,https://labtecnosocial.org/explora-bib/digital/ojeda2018b.png,ojeda2018b.png
64,journalArticle,Rizoma y Gaia: Participación política de mujeres en movimientos ecologistas en red,"Ojeda, Alex",2018,Mulier Sapiens,https://www.academia.edu/36943980/Rizoma_y_Gaia_Participaci%C3%B3n_pol%C3%ADtica_de_mujeres_en_movimientos_ecologistas_en_red,,,"movimientos,activismo",https://labtecnosocial.org/explora-bib/digital/ojeda2018d.png,ojeda2018d.png
65,journalArticle,La organización de los movimientos en red en el Estado Plurinacional,"Ojeda, Alex",2018,Temas Sociales,https://www.academia.edu/37293804/La_organizaci%C3%B3n_de_los_movimientos_en_red_en_el_Estado_Plurinacional,,,opinión pública,https://labtecnosocial.org/explora-bib/digital/ojeda2018c.png,ojeda2018c.png
66,journalArticle,Análisis de sentimiento e interacción de @evoespueblo,"Ojeda, Alex",2018,Revista Boliviana de Ciencia Política,https://www.academia.edu/36376875/An%C3%A1lisis_de_sentimiento_e_interacci%C3%B3n_de_at_evoespueblo,,,"política, opinión pública",https://labtecnosocial.org/explora-bib/digital/ojeda2018a.png,ojeda2018a.png
67,journalArticle,Microdinámicas de opinión alrededor del hashtag #RayoEvolizador en Twitter,"Ojeda, Alex; Peredo, Valeria",2018,Punto Cero,https://www.academia.edu/38477948/Microdin%C3%A1micas_de_opini%C3%B3n_alrededor_del_hashtag_RayoEvolizador_en_Twitter,,,"política, opinión pública",https://labtecnosocial.org/explora-bib/digital/ojedaperedo2018.png,ojedaperedo2018.png
68,bookSection,Economía digital,"Padilla, Mariela; Aranibar, Enrique; Meruvia, Martín",2018,EstadoTIC. Estado de las Tecnologías de Información y Comunicación en el Estado Plurinacional de Bolivia,https://drive.google.com/file/d/1fVyR__tdwU77CnKsSC1qDOjWKObd6U9R/view,AGETIC,La Paz,economía,https://labtecnosocial.org/explora-bib/digital/padilla2018.png,padilla2018.png
69,bookSection,Las tecnologías de información y comunicación (TIC) en la educación,"Paz Gonzales, Eduardo",2018,EstadoTIC. Estado de las Tecnologías de Información y Comunicación en el Estado Plurinacional de Bolivia,https://drive.google.com/file/d/1fVyR__tdwU77CnKsSC1qDOjWKObd6U9R/view,,,"sociedad civil,educación",https://labtecnosocial.org/explora-bib/digital/paz2018.png,paz2018.png
70,journalArticle,Las TIC en la democracia y la política: Innovaciones tecnológicas vs. derechos digitales,"Quiroz, Eliana",2018,Andamios 7. ¿Qué hacen las tecnologías de información y comunicación con las democracias?,https://www.oep.org.bo/wp-content/uploads/2018/09/revista-andamios_nro_7.pdf,,,"política,democracia",https://labtecnosocial.org/explora-bib/digital/quiroz2018.png,quiroz2018.png
71,journalArticle,Apuntes para cimentar una democracia digital en Bolivia,"Rocha, Verónica",2018,Andamios 7. ¿Qué hacen las tecnologías de información y comunicación con las democracias?,https://www.oep.org.bo/wp-content/uploads/2018/09/revista-andamios_nro_7.pdf,,,"política,democracia",https://labtecnosocial.org/explora-bib/digital/rocha2018.png,rocha2018.png
72,bookSection,Jóvenes rurales e inclusión digital en Bolivia: el proyecto Saraña en Ancoraimes,"Velásquez, María José",2018,"Jóvenes, transformación digital y nuevas formas de inclusión en América latina",https://digital.fundacionceibal.edu.uy/jspui/handle/123456789/229,Centro de Estudios Fundación Ceibal,Montevideo,"economía, juventud,area rural",https://labtecnosocial.org/explora-bib/digital/velasquez.png,velasquez.png
